"name","url","poem"
"DT 18-135mm F3.5-5.6 SAM","https://www.sony.jp/ichigan/products/SAL18135/",""
"DT 18-250mm F3.5-6.3","https://www.sony.jp/ichigan/products/SAL18250/",""
"DT 55-200mm F4-5.6 SAM","https://www.sony.jp/ichigan/products/SAL55200-2/",""
"DT 55-300mm F4.5-5.6 SAM","https://www.sony.jp/ichigan/products/SAL55300/","高画質化を実現するEDガラスを採用\n超望遠450mm（＊）までカバーする5.5倍の高性能望遠ズームレンズ"
"16mm F2.8 Fisheye","https://www.sony.jp/ichigan/products/SAL16F28/",""
"20mm F2.8","https://www.sony.jp/ichigan/products/SAL20F28/",""
"Distagon T＊ 24mm F2 ZA SSM","https://www.sony.jp/ichigan/products/SAL24F20Z/",""
"35mm F1.4 G","https://www.sony.jp/ichigan/products/SAL35F14G/",""
"50mm F1.4","https://www.sony.jp/ichigan/products/SAL50F14/",""
"Planar T＊ 50mm F1.4 ZA SSM","https://www.sony.jp/ichigan/products/SAL50F14Z/","金属外装による高品位な外観\nZEISS Lens の歴史を継承する “Planar”\n新規光学設計による高画質\n最新の光学設計で、高い解像力とコントラストを実現した待望のZEISSフルサイズ大口径単焦点レンズ\nPlanar T＊ 50mm F1.4 ZA SSMの圧倒的な解像感\nSSM採用による静粛でなめらかなＡＦ駆動"
"Planar T＊ 85mm F1.4 ZA","https://www.sony.jp/ichigan/products/SAL85F14Z/",""
"85mm F2.8 SAM","https://www.sony.jp/ichigan/products/SAL85F28/",""
"Sonnar T＊ 135mm F1.8 ZA","https://www.sony.jp/ichigan/products/SAL135F18Z/",""
"135mm F2.8 [T4.5] STF","https://www.sony.jp/ichigan/products/SAL135F28/","理想的なボケ味を追求したSTFレンズ\nSTFレンズのTナンバー"
"300mm F2.8 G SSM II","https://www.sony.jp/ichigan/products/SAL300F28G2/","機動力を高める優れた操作性\n高コントラストとぼけ味を高次元で両立させた、大口径長望遠レンズ\n各部名称\nナノサイズの構造を持つ新コート「ナノARコーティング」"
"500mm F4 G SSM","https://www.sony.jp/ichigan/products/SAL500F40G/","高画質を徹底的に追求した、大口径超望遠レンズ\nナノサイズの構造を持つ新コート「ナノARコーティング」\n機動力を高める優れた操作性\n各部名称"
"DT 35mm F1.8 SAM","https://www.sony.jp/ichigan/products/SAL35F18/",""
"DT 50mm F1.8 SAM","https://www.sony.jp/ichigan/products/SAL50F18/",""
"50mm F2.8 Macro","https://www.sony.jp/ichigan/products/SAL50M28/",""
"100mm F2.8 Macro","https://www.sony.jp/ichigan/products/SAL100M28/",""
"DT 30mm F2.8 Macro SAM","https://www.sony.jp/ichigan/products/SAL30M28/",""
"1.4x Teleconverter","https://www.sony.jp/ichigan/products/SAL14TC/",""
"2.0x Teleconverter","https://www.sony.jp/ichigan/products/SAL20TC/",""
